model_conditions,model_usage,covariate,Deriv,type1,type2,stat,year,prop,soil,depth_int,depth,top_depth,bot_depth
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,silt_30_60,silt,30_60,30-60,30,60
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,30,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,TOC_15_30,TOC,15_30,15-30,15,30
0,30,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,TOC_5_15,TOC,5_15,`5-15,5,15
5,19,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Total N_0_5,Total N,0_5,0-5,0,5
0,35,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Total N_15_30,Total N,15_30,15-30,15,30
0,8,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Total N_30_60,Total N,30_60,30-60,30,60
0,34,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Total N_5_15,Total N,5_15,`5-15,5,15
0,43,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Total N_60_100,Total N,60_100,60-100,60,100
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_105m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1110m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_111m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_117m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_123m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1290m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_130m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_150m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,buf_pH_60_100,buf_pH,60_100,60-100,60,100
0,5,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,CEC_0_5,CEC,0_5,0-5,0,5
0,2,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,CEC_15_30,CEC,15_30,15-30,15,30
0,4,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,CEC_5_15,CEC,5_15,`5-15,5,15
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,cf_60_100,cf,60_100,60-100,60,100
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,2,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_30_60,clay,30_60,30-60,30,60
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,K_60_100,K,60_100,60-100,60,100
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_100_150,sand,100_150,100-150,100,150
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,3,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_5_15,sand,5_15,`5-15,5,15
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,3,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,TOC_0_5,TOC,0_5,0-5,0,5
0,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,TOC_15_30,TOC,15_30,15-30,15,30
0,3,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,TOC_5_15,TOC,5_15,`5-15,5,15
5,0,crosc_15m,Terrain,cross-sectional curvature,curvature,,2006-2009,Total N_15_30,Total N,15_30,15-30,15,30
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_1830m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_2010m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_210m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_2190m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,4,crosc_21m,Terrain,cross-sectional curvature,curvature,,2006-2009,buf_pH_30_60,buf_pH,30_60,30-60,30,60
